type,begin_time,frequency,count,created with version,exported with version,project,last_name,first_name,born,sex,measurement_date,record_name
record,0,100,8560,Noraxon MR3 3.20.18,3.20.18,operator test,Hoang Trung Hieu,,,male,2023-07-21T09:30:08.334Z,running04-09
,,,,,,,,,,,,
time,Activity,Marker,LT Max Pressure (N/cm²),RT Max Pressure (N/cm²),,,,,Trials in Nexus,4,2023-07-21T09:30:22.726Z,
5.73,,,16.92659088,0,,,,,,,,
5.74,,,19.004983029999998,0,,,,,,,,
5.75,,,20.93326465,0,,,,,,,,
5.76,,,22.9395216,0,,,,,,,,
5.77,,,24.55637017,0,,,,,,,,
5.78,,,25.98431261,0,,,,,,,,
5.79,,,27.31577557,0,,,,,,,,
5.8,,,27.75341405,0,,,,,,,,
5.81,,,28.37074122,0,,,,,,,,
5.82,,,29.56429619,0,,,,,,,,
5.83,,,29.60867642,0,,,,,,,,
5.84,,,28.26204836,0,,,,,,,,
5.85,,,27.11744922,0,,,,,,,,
5.86,,,26.60001054,0,,,,,,,,
5.87,,,25.26781965,0,,,,,,,,
5.88,,,22.4039403,0,,,,,,,,
5.89,,,19.08148049,0,,,,,,,,
5.9,,,16.15207256,0,,,,,,,,
5.91,,,13.25602033,0,,,,,,,,
5.92,,,10.40721569,0,,,,,,,,
5.93,,,8.056277607,0,,,,,,,,
5.94,,,6.967640004,0,,,,,,,,
5.95,,,8.414932858,0,,,,,,,,
5.96,,,0,0,,,,,,,,
5.97,,,0,0,,,,,,,,
5.98,,,0,0,,,,,,,,
5.99,,,0,0,,,,,,,,
6,,,0,0,,,,,,,,
6.01,,,0,0,,,,,,,,
6.02,,,0,0,,,,,,,,
6.03,,,0,0,,,,,,,,
6.04,,,0,0,,,,,,,,
6.05,,,0,0,,,,,,,,
6.06,,,0,0,,,,,,,,
6.07,,,0,0,,,,,,,,
6.08,,,0,12.04713471,,,,,,,,
6.09,,,0,12.33145467,,,,,,,,
6.1,,,0,13.59237506,,,,,,,,
6.11,,,0,15.15850132,,,,,,,,
6.12,,,0,17.22086011,,,,,,,,
6.13,,,0,19.5706301,,,,,,,,
6.14,,,0,22.01508732,,,,,,,,
6.15,,,0,24.74914914,,,,,,,,
6.16,,,0,27.38747423,,,,,,,,
6.17,,,0,29.70184584,,,,,,,,
6.18,,,0,31.60911735,,,,,,,,
6.19,,,0,33.24127596,,,,,,,,
6.2,,,0,34.84982027,,,,,,,,
6.21,,,0,36.18663547,,,,,,,,
6.22,,,0,36.94328468,,,,,,,,
6.23,,,0,37.31629386,,,,,,,,
6.24,,,0,37.28467898,,,,,,,,
6.25,,,0,36.81719359,,,,,,,,
6.26,,,0,35.70533299,,,,,,,,
6.27,,,0,33.51383448,,,,,,,,
6.28,,,0,29.84356316,,,,,,,,
6.29,,,0,25.48628635,,,,,,,,
